salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
1111,3884497908,,40000.0,,YEARLY,USD,BASE_SALARY
1113,3884437155,35.0,,30.0,HOURLY,USD,BASE_SALARY
1117,3887715575,,17.0,,HOURLY,USD,BASE_SALARY
1119,3840584142,80000.0,,70000.0,YEARLY,USD,BASE_SALARY
1131,3884439266,19.71,,16.0,HOURLY,USD,BASE_SALARY
1143,3887723181,,40000.0,,YEARLY,USD,BASE_SALARY
1154,3884499585,,40000.0,,YEARLY,USD,BASE_SALARY
1216,3887716882,117300.0,,73000.0,YEARLY,USD,BASE_SALARY
1250,3884436194,98760.0,,63980.0,YEARLY,USD,BASE_SALARY
1267,3884923979,110000.0,,95000.0,YEARLY,USD,BASE_SALARY
1279,3884437291,80000.0,,60000.0,YEARLY,USD,BASE_SALARY
1288,3887714936,150000.0,,130000.0,YEARLY,USD,BASE_SALARY
1290,3884921927,130000.0,,120000.0,YEARLY,USD,BASE_SALARY
1298,3884804203,,40000.0,,YEARLY,USD,BASE_SALARY
1356,3887856072,40000.0,,30000.0,YEARLY,USD,BASE_SALARY
1360,3887498811,65.0,,50.0,HOURLY,USD,BASE_SALARY
1398,3884443809,200000.0,,80000.0,YEARLY,USD,BASE_SALARY
1428,3887702206,62000.0,,55000.0,YEARLY,USD,BASE_SALARY
1444,3884435818,250000.0,,210000.0,YEARLY,USD,BASE_SALARY
1459,3887861314,195500.0,,113000.0,YEARLY,USD,BASE_SALARY
1468,3887719381,,63.77,,HOURLY,USD,BASE_SALARY
1509,3884437331,19.71,,16.0,HOURLY,USD,BASE_SALARY
1575,3884803257,,40000.0,,YEARLY,USD,BASE_SALARY
1582,3884437728,150000.0,,125000.0,YEARLY,USD,BASE_SALARY
1589,3885809404,65000.0,,55000.0,YEARLY,USD,BASE_SALARY
1655,3887708891,60.0,,40.0,HOURLY,USD,BASE_SALARY
1664,3887723190,,21.0,,HOURLY,USD,BASE_SALARY
1699,3884821575,107498.0,,67186.0,YEARLY,USD,BASE_SALARY
1704,3884818993,68474.0,,47840.0,YEARLY,USD,BASE_SALARY
1775,3887870504,34.25,,20.5,HOURLY,USD,BASE_SALARY
1844,3884828829,,24.52,,HOURLY,USD,BASE_SALARY
1847,3887715991,,70000.0,,YEARLY,USD,BASE_SALARY
1850,3887858540,276000.0,,160000.0,YEARLY,USD,BASE_SALARY
1864,3885824808,85000.0,,60000.0,YEARLY,USD,BASE_SALARY
1865,3884818995,107498.0,,67186.0,YEARLY,USD,BASE_SALARY
1883,3884820659,149880.0,,64974.0,YEARLY,USD,BASE_SALARY
1886,3885808432,125200.0,,96300.0,YEARLY,USD,BASE_SALARY
1887,3884825052,68474.0,,47840.0,YEARLY,USD,BASE_SALARY
1893,3884813159,30.8,,23.95,HOURLY,USD,BASE_SALARY
1916,3887887680,35.65,,20.72,HOURLY,USD,BASE_SALARY
1963,3887834891,95000.0,,85000.0,YEARLY,USD,BASE_SALARY
1973,3885820652,41.75,,35.75,HOURLY,USD,BASE_SALARY
1979,3884818992,68474.0,,47840.0,YEARLY,USD,BASE_SALARY
2028,3887713975,,23.5,,HOURLY,USD,BASE_SALARY
2039,3884829737,69000.0,,54000.0,YEARLY,USD,BASE_SALARY
2087,3884824205,82867.0,,55245.0,YEARLY,USD,BASE_SALARY
2100,3887885054,27.0,,25.0,HOURLY,USD,BASE_SALARY
2104,3884829691,350000.0,,315000.0,YEARLY,USD,BASE_SALARY
2141,3887892853,30.75,,20.54,HOURLY,USD,BASE_SALARY
2213,3885828137,30.0,,28.0,HOURLY,USD,BASE_SALARY
2245,3885839483,25.0,,20.0,HOURLY,USD,BASE_SALARY
2256,3884440992,165000.0,,120000.0,YEARLY,USD,BASE_SALARY
2258,3884846375,,20.0,,HOURLY,USD,BASE_SALARY
2342,3884823059,,20.0,,HOURLY,USD,BASE_SALARY
2349,3888009718,,29.58,,HOURLY,USD,BASE_SALARY
2369,3884441874,69000.0,,64480.0,YEARLY,USD,BASE_SALARY
2402,3885844196,158230.0,,95680.0,YEARLY,USD,BASE_SALARY
2417,3885839866,63.95,,39.0,HOURLY,USD,BASE_SALARY
2496,3885840095,25.0,,22.0,HOURLY,USD,BASE_SALARY
2540,3887715212,160000.0,,150000.0,YEARLY,USD,BASE_SALARY
2558,3884437755,300000.0,,150000.0,YEARLY,USD,BASE_SALARY
2564,3884444031,164440.0,,131552.0,YEARLY,USD,BASE_SALARY
2573,3885829724,,19.5,,HOURLY,USD,BASE_SALARY
2587,3885842465,25.0,,20.0,HOURLY,USD,BASE_SALARY
2616,3885841819,76.07,,46.0,HOURLY,USD,BASE_SALARY
2646,3884447492,17.25,,17.0,HOURLY,USD,BASE_SALARY
2675,3885833469,,22.92,,HOURLY,USD,BASE_SALARY
2688,3885843705,219648.0,,133120.0,YEARLY,USD,BASE_SALARY
2692,3885828791,100000.0,,90000.0,YEARLY,USD,BASE_SALARY
2693,3884439373,,80000.0,,YEARLY,USD,BASE_SALARY
2694,3888009447,287280.0,,124640.0,YEARLY,USD,BASE_SALARY
2714,3888014831,165000.0,,96000.0,YEARLY,USD,BASE_SALARY
2724,3884939421,70000.0,,60000.0,YEARLY,USD,BASE_SALARY
2729,3885845144,63.95,,39.0,HOURLY,USD,BASE_SALARY
2738,3887887820,134000.0,,107000.0,YEARLY,USD,BASE_SALARY
2740,3885823632,59.33,,36.0,HOURLY,USD,BASE_SALARY
2749,3885834393,,34.47,,HOURLY,USD,BASE_SALARY
2781,3885843707,63.95,,39.0,HOURLY,USD,BASE_SALARY
2816,3887877844,,16.0,,HOURLY,USD,BASE_SALARY
2818,3884858495,,27.23,,HOURLY,USD,BASE_SALARY
2884,3885840835,133010.0,,81120.0,YEARLY,USD,BASE_SALARY
2928,3885843706,158230.0,,95680.0,YEARLY,USD,BASE_SALARY
2938,3885854248,30.0,,27.0,HOURLY,USD,BASE_SALARY
2955,3884830837,225000.0,,200000.0,YEARLY,USD,BASE_SALARY
2982,3887837856,60000.0,,55000.0,YEARLY,USD,BASE_SALARY
2999,3888013993,50.0,,35.0,YEARLY,USD,BASE_SALARY
3022,3885845146,158230.0,,95680.0,YEARLY,USD,BASE_SALARY
3024,3885821949,153000.0,,125200.0,YEARLY,USD,BASE_SALARY
3041,3885863522,170503.44,,147200.0,YEARLY,USD,BASE_SALARY
3077,3884824207,107498.0,,67186.0,YEARLY,USD,BASE_SALARY
3117,3885838581,25.0,,20.0,HOURLY,USD,BASE_SALARY
3120,3885844778,169900.0,,99270.0,YEARLY,USD,BASE_SALARY
3149,3888014028,37.01,,22.16,HOURLY,USD,BASE_SALARY
3152,3884856691,,23.0,,HOURLY,USD,BASE_SALARY
3155,3884828947,250000.0,,210000.0,YEARLY,USD,BASE_SALARY
3171,3884811473,8500.0,,5500.0,MONTHLY,USD,BASE_SALARY
3204,3884847129,,20.0,,HOURLY,USD,BASE_SALARY
3222,3884820805,82867.0,,55245.0,YEARLY,USD,BASE_SALARY
3232,3884860303,,25.0,,HOURLY,USD,BASE_SALARY
3283,3884856692,170000.0,,115000.0,YEARLY,USD,BASE_SALARY
3287,3885840833,181896.0,,110240.0,YEARLY,USD,BASE_SALARY
3308,3884859329,,23.0,,HOURLY,USD,BASE_SALARY
3314,3885843704,181896.0,,110240.0,YEARLY,USD,BASE_SALARY
3326,3887719397,,100000.0,,YEARLY,USD,BASE_SALARY
3336,3884856688,,23.0,,HOURLY,USD,BASE_SALARY
3339,3884859328,,42.17,,HOURLY,USD,BASE_SALARY
3349,3884856652,80000.0,,65000.0,YEARLY,USD,BASE_SALARY
3369,3884861118,,27.0,,HOURLY,USD,BASE_SALARY
3378,3884858496,170000.0,,115000.0,YEARLY,USD,BASE_SALARY
3387,3884847130,,20.0,,HOURLY,USD,BASE_SALARY
3442,3884861120,170000.0,,115000.0,YEARLY,USD,BASE_SALARY
3450,3884859327,120000.0,,77919.0,YEARLY,USD,BASE_SALARY
3461,3884860305,,27.23,,HOURLY,USD,BASE_SALARY
3483,3884844723,,20.0,,HOURLY,USD,BASE_SALARY
3512,3884898495,55.0,,40.0,HOURLY,USD,BASE_SALARY
3516,3884854934,170000.0,,115000.0,YEARLY,USD,BASE_SALARY
3536,3884855690,,55.29,,HOURLY,USD,BASE_SALARY
3548,3885103169,54000.0,,50000.0,YEARLY,USD,BASE_SALARY
3627,3884437418,,20.5,,HOURLY,USD,BASE_SALARY
3645,3884834768,,50.0,,HOURLY,USD,BASE_SALARY
3655,3884855691,165000.0,,105000.0,YEARLY,USD,BASE_SALARY
3713,3885104244,,100000.0,,YEARLY,USD,BASE_SALARY
3714,3885102462,,18.0,,HOURLY,USD,BASE_SALARY
3770,3885865823,27.91,,23.1,HOURLY,USD,BASE_SALARY
3772,3885864818,98178.07,,65452.04,YEARLY,USD,BASE_SALARY
3773,3888028078,95000.0,,90000.0,YEARLY,USD,BASE_SALARY
3828,3885107850,15000.0,,10000.0,YEARLY,USD,BASE_SALARY
3838,3888032358,,14.0,,HOURLY,USD,BASE_SALARY
3891,3885112215,20.0,,14.5,HOURLY,USD,BASE_SALARY
3948,3886210830,170000.0,,120000.0,YEARLY,USD,BASE_SALARY
3985,3888030824,35.0,,25.0,HOURLY,USD,BASE_SALARY
4045,3886215641,40.0,,30.0,HOURLY,USD,BASE_SALARY
4060,2264355,,350.0,,MONTHLY,USD,BASE_SALARY
4097,3888932749,210450.0,,131000.0,YEARLY,USD,BASE_SALARY
4099,3888931781,166750.0,,104000.0,YEARLY,USD,BASE_SALARY
4108,3887572647,54500.0,,51000.0,YEARLY,USD,BASE_SALARY
4112,3888933631,154800.0,,80000.0,YEARLY,USD,BASE_SALARY
4127,3887575136,54500.0,,51000.0,YEARLY,USD,BASE_SALARY
4132,3887572653,113200.0,,70100.0,YEARLY,USD,BASE_SALARY
4163,3887577045,54500.0,,51000.0,YEARLY,USD,BASE_SALARY
4164,3888930904,203550.0,,118000.0,YEARLY,USD,BASE_SALARY
4173,3888937081,166750.0,,104000.0,YEARLY,USD,BASE_SALARY
4204,3886447747,45115.0,,43804.0,YEARLY,USD,BASE_SALARY
4209,3888938895,42.0,,35.0,HOURLY,USD,BASE_SALARY
4273,3888933736,,12.5,,HOURLY,USD,BASE_SALARY
4293,3888947288,55000.0,,52000.0,YEARLY,USD,BASE_SALARY
4298,3887577042,54500.0,,51000.0,YEARLY,USD,BASE_SALARY
4340,3887579363,200600.0,,91100.0,YEARLY,USD,BASE_SALARY
4353,3888958294,140000.0,,120000.0,YEARLY,USD,BASE_SALARY
4360,3888940824,115000.0,,90000.0,YEARLY,USD,BASE_SALARY
4393,3887574641,83010.0,,69010.0,YEARLY,USD,BASE_SALARY
4413,3887574882,60000.0,,33700.0,YEARLY,USD,BASE_SALARY
4427,3887586849,35.0,,25.0,HOURLY,USD,BASE_SALARY
4528,3887570784,72904.0,,64272.0,YEARLY,USD,BASE_SALARY
4542,3887591736,39.69,,25.0,HOURLY,USD,BASE_SALARY
4559,3887591734,39.69,,25.0,HOURLY,USD,BASE_SALARY
4673,3887574649,350000.0,,250000.0,YEARLY,USD,BASE_SALARY
4725,3888995270,266000.0,,177688.0,YEARLY,USD,BASE_SALARY
4755,3889124665,106745.64,,71163.76,YEARLY,USD,BASE_SALARY
4758,3887596263,39.69,,25.0,HOURLY,USD,BASE_SALARY
4770,3887578489,72600.0,,36300.0,YEARLY,USD,BASE_SALARY
4807,3887592713,35.36,,20.8,HOURLY,USD,BASE_SALARY
4821,3889105867,75000.0,,70000.0,YEARLY,USD,BASE_SALARY
4825,3888965379,192533.0,,111467.0,YEARLY,USD,BASE_SALARY
4866,3889153447,,27.23,,HOURLY,USD,BASE_SALARY
4889,3887587750,35.0,,25.0,HOURLY,USD,BASE_SALARY
4898,3888958420,,65.0,,HOURLY,USD,BASE_SALARY
4902,3889147397,29.0,,18.0,HOURLY,USD,BASE_SALARY
4903,3889152597,,23.0,,HOURLY,USD,BASE_SALARY
4971,3889150618,,55.29,,HOURLY,USD,BASE_SALARY
4989,3888996307,324000.0,,180000.0,YEARLY,USD,BASE_SALARY
5019,3889152585,,42.17,,HOURLY,USD,BASE_SALARY
5043,3887582329,75.24,,52.91,HOURLY,USD,BASE_SALARY
5107,3889151565,350000.0,,231000.0,YEARLY,USD,BASE_SALARY
5125,3889127386,163680.0,,109120.0,YEARLY,USD,BASE_SALARY
5138,3889149824,,27.23,,HOURLY,USD,BASE_SALARY
5187,3886472127,43.17,,26.92,HOURLY,USD,BASE_SALARY
5193,3887595509,70000.0,,60000.0,YEARLY,USD,BASE_SALARY
5242,3887593059,85000.0,,70000.0,YEARLY,USD,BASE_SALARY
5260,3889153461,,25.04,,HOURLY,USD,BASE_SALARY
5326,3888994426,205000.0,,136800.0,YEARLY,USD,BASE_SALARY
5337,3888957464,,85.0,,HOURLY,USD,BASE_SALARY
5342,3886470444,43.17,,26.92,HOURLY,USD,BASE_SALARY
5367,3887579364,129300.0,,61600.0,YEARLY,USD,BASE_SALARY
5406,3889155215,184000.0,,119500.0,YEARLY,USD,BASE_SALARY
5419,3887594468,94020.0,,60320.0,YEARLY,USD,BASE_SALARY
5431,3889108390,70000.0,,65000.0,YEARLY,USD,BASE_SALARY
5464,3889116047,184391.69,,110635.01,YEARLY,USD,BASE_SALARY
5485,3888994430,168800.0,,108300.0,YEARLY,USD,BASE_SALARY
5493,3889192454,1770.0,,1770.0,WEEKLY,USD,BASE_SALARY
5691,3887950016,150000.0,,53000.0,YEARLY,USD,BASE_SALARY
5704,3887942330,70000.0,,60000.0,YEARLY,USD,BASE_SALARY
5752,3889285740,90000.0,,80000.0,YEARLY,USD,BASE_SALARY
5756,3889287646,226000.0,,180000.0,YEARLY,USD,BASE_SALARY
5767,3889414348,50.0,,35.0,HOURLY,USD,BASE_SALARY
5776,3889415333,100000.0,,90000.0,YEARLY,USD,BASE_SALARY
5780,3889411685,120000.0,,100000.0,YEARLY,USD,BASE_SALARY
5861,3889414755,,80000.0,,YEARLY,USD,BASE_SALARY
5862,3889413755,,18.0,,HOURLY,USD,BASE_SALARY
5864,3889412913,,125000.0,,YEARLY,USD,BASE_SALARY
5865,3889414768,,75000.0,,YEARLY,USD,BASE_SALARY
5866,3889413758,,68841.68,,YEARLY,USD,BASE_SALARY
5867,3889412923,,110520.0,,YEARLY,USD,BASE_SALARY
5868,3889413786,,17.0,,HOURLY,USD,BASE_SALARY
5869,3889416439,,19.0,,HOURLY,USD,BASE_SALARY
5870,3889418011,,120000.0,,YEARLY,USD,BASE_SALARY
5872,3889411969,,202155.0,,YEARLY,USD,BASE_SALARY
5873,3889415659,,94500.0,,YEARLY,USD,BASE_SALARY
5875,3889418021,,15.5,,HOURLY,USD,BASE_SALARY
5876,3889413776,,19.57,,HOURLY,USD,BASE_SALARY
5877,3889414758,,23.11,,HOURLY,USD,BASE_SALARY
5878,3889415669,,63.0,,HOURLY,USD,BASE_SALARY
5879,3889413787,,60000.0,,YEARLY,USD,BASE_SALARY
5881,3889417438,,19.57,,HOURLY,USD,BASE_SALARY
5883,3889411985,,40000.0,,YEARLY,USD,BASE_SALARY
5884,3889415662,,120000.0,,YEARLY,USD,BASE_SALARY
5886,3889415660,,109000.0,,YEARLY,USD,BASE_SALARY
5887,3889416415,,72203.0,,YEARLY,USD,BASE_SALARY
5888,3889416423,,149200.0,,YEARLY,USD,BASE_SALARY
5889,3889414779,,80000.0,,YEARLY,USD,BASE_SALARY
5890,3889417435,,18.0,,HOURLY,USD,BASE_SALARY
5891,3889416433,,90000.0,,YEARLY,USD,BASE_SALARY
5892,3889416446,,122730.0,,YEARLY,USD,BASE_SALARY
5894,3889417464,,18.56,,HOURLY,USD,BASE_SALARY
5895,3889416407,,67332.0,,YEARLY,USD,BASE_SALARY
5896,3889410981,,27.75,,HOURLY,USD,BASE_SALARY
5897,3889416442,200000.0,,150000.0,YEARLY,USD,BASE_SALARY
5899,3889417431,,15.0,,HOURLY,USD,BASE_SALARY
5900,3889416409,,22.0,,HOURLY,USD,BASE_SALARY
5901,3889412897,,179000.0,,YEARLY,USD,BASE_SALARY
5904,3889417419,,137800.0,,YEARLY,USD,BASE_SALARY
5905,3889415678,,17.74,,HOURLY,USD,BASE_SALARY
5909,3889418026,61200.0,,40800.0,YEARLY,USD,BASE_SALARY
5910,3889412911,,37.0,,HOURLY,USD,BASE_SALARY
5916,3889417414,,50000.0,,YEARLY,USD,BASE_SALARY
5918,3889413779,,28.0,,HOURLY,USD,BASE_SALARY
5920,3889417418,,60000.0,,YEARLY,USD,BASE_SALARY
5921,3889413828,61200.0,,40800.0,YEARLY,USD,BASE_SALARY
5923,3889414756,,55000.0,,YEARLY,USD,BASE_SALARY
5926,3889417436,,100000.0,,YEARLY,USD,BASE_SALARY
5930,3889417404,,19.25,,HOURLY,USD,BASE_SALARY
5931,3886845634,220000.0,,180000.0,YEARLY,USD,BASE_SALARY
5932,3889417407,,60.0,,HOURLY,USD,BASE_SALARY
5935,3889411966,,150000.0,,YEARLY,USD,BASE_SALARY
5945,3889416416,,97362.61,,YEARLY,USD,BASE_SALARY
5947,3889417446,,37.84,,HOURLY,USD,BASE_SALARY
5991,3889417466,27.85,,18.56,HOURLY,USD,BASE_SALARY
5992,3889413822,68900.0,,45900.0,YEARLY,USD,BASE_SALARY
6004,3889415670,,246000.0,,YEARLY,USD,BASE_SALARY
6008,3889416410,,55000.0,,YEARLY,USD,BASE_SALARY
6035,3889417434,,162000.0,,YEARLY,USD,BASE_SALARY
6036,3889426513,,24.0,,HOURLY,USD,BASE_SALARY
6039,3889427185,25.45,,22.0,HOURLY,USD,BASE_SALARY
6040,3889412942,27.85,,18.56,HOURLY,USD,BASE_SALARY
6070,3889435688,85.0,,75.0,HOURLY,USD,BASE_SALARY
6138,3889472319,365000.0,,260000.0,YEARLY,USD,BASE_SALARY
6147,3888411502,34.18,,22.0,HOURLY,USD,BASE_SALARY
6163,3886863311,190000.0,,170000.0,YEARLY,USD,BASE_SALARY
6207,3888414219,140000.0,,70000.0,YEARLY,USD,BASE_SALARY
6316,3888405748,27.0,,22.0,HOURLY,USD,BASE_SALARY
6320,3889451782,225000.0,,130500.0,YEARLY,USD,BASE_SALARY
6349,3889445735,280000.0,,187040.0,YEARLY,USD,BASE_SALARY
6420,3886871319,76.49,,37.64,HOURLY,USD,BASE_SALARY
6428,3888476633,,17.0,,HOURLY,USD,BASE_SALARY
6429,3889491383,365000.0,,260000.0,YEARLY,USD,BASE_SALARY
6432,3888407217,180000.0,,140000.0,YEARLY,USD,BASE_SALARY
6445,3888401858,25.0,,20.0,HOURLY,USD,BASE_SALARY
6488,3888476634,200200.0,,149300.0,YEARLY,USD,BASE_SALARY
6503,3888478407,165440.0,,107256.0,YEARLY,USD,BASE_SALARY
6535,3888479494,163125.0,,108750.0,YEARLY,USD,BASE_SALARY
6540,3889483974,195000.0,,150000.0,YEARLY,USD,BASE_SALARY
6563,3889710607,28.0,,24.0,HOURLY,USD,BASE_SALARY
6574,3888822664,,25.44,,HOURLY,USD,BASE_SALARY
6596,3889738701,200000.0,,175000.0,YEARLY,USD,BASE_SALARY
6615,3886880743,120000.0,,110000.0,YEARLY,USD,BASE_SALARY
6638,3888484995,22.0,,18.0,HOURLY,USD,BASE_SALARY
6715,3889772325,210000.0,,180000.0,YEARLY,USD,BASE_SALARY
6739,3889706993,28.0,,24.0,HOURLY,USD,BASE_SALARY
6740,3886896678,109765.0,,86578.0,YEARLY,USD,BASE_SALARY
6746,3889774845,82.0,,75.0,HOURLY,USD,BASE_SALARY
6765,3886880775,300000.0,,150000.0,YEARLY,USD,BASE_SALARY
6766,3889711039,140000.0,,80000.0,YEARLY,USD,BASE_SALARY
6800,3887107137,39.06,,26.64,HOURLY,USD,BASE_SALARY
6888,3889756922,75000.0,,70000.0,YEARLY,USD,BASE_SALARY
6983,3889707452,35.0,,22.0,HOURLY,USD,BASE_SALARY
7008,3888816340,110000.0,,105000.0,YEARLY,USD,BASE_SALARY
7009,3886878991,44.0,,34.0,HOURLY,USD,BASE_SALARY
7032,3888483786,180000.0,,115000.0,YEARLY,USD,BASE_SALARY
7035,3889716058,140000.0,,80000.0,YEARLY,USD,BASE_SALARY
7044,3889709723,28.0,,24.0,HOURLY,USD,BASE_SALARY
7053,3889742303,65000.0,,58000.0,YEARLY,USD,BASE_SALARY
7143,3888814699,55000.0,,50000.0,YEARLY,USD,BASE_SALARY
7158,3889746164,225000.0,,170000.0,YEARLY,USD,BASE_SALARY
7160,3886898471,22.0,,20.0,HOURLY,USD,BASE_SALARY
7197,3889745079,80.0,,73.0,HOURLY,USD,BASE_SALARY
7198,3886882484,300000.0,,150000.0,YEARLY,USD,BASE_SALARY
7280,3887103382,165000.0,,142000.0,YEARLY,USD,BASE_SALARY
7281,3886880699,194805.0,,129935.0,YEARLY,USD,BASE_SALARY
7305,3886885118,300000.0,,150000.0,YEARLY,USD,BASE_SALARY
7311,3889751361,,50000.0,,YEARLY,USD,BASE_SALARY
7332,3889777454,150000.0,,130000.0,YEARLY,USD,BASE_SALARY
7359,3889708974,28.0,,24.0,HOURLY,USD,BASE_SALARY
7362,3889703568,100000.0,,40000.0,YEARLY,USD,BASE_SALARY
7402,3889742706,,29.0,,HOURLY,USD,BASE_SALARY
7405,3887106363,165555.0,,110435.0,YEARLY,USD,BASE_SALARY
7409,3888829129,210000.0,,175000.0,YEARLY,USD,BASE_SALARY
7425,3886898356,115000.0,,110000.0,YEARLY,USD,BASE_SALARY
7433,3890889803,45.0,,40.0,HOURLY,USD,BASE_SALARY
7440,3890894250,25.0,,24.0,HOURLY,USD,BASE_SALARY
7468,3894848708,15.0,,13.0,HOURLY,USD,BASE_SALARY
7479,3890892404,,21.63,,HOURLY,USD,BASE_SALARY
7483,3890895157,120000.0,,80000.0,YEARLY,USD,BASE_SALARY
7502,3894852363,15.0,,13.0,HOURLY,USD,BASE_SALARY
7503,3894206347,65000.0,,55000.0,YEARLY,USD,BASE_SALARY
7546,3894874996,115679.96,,84137.02,YEARLY,USD,BASE_SALARY
7553,3894854036,16.0,,15.0,HOURLY,USD,BASE_SALARY
7559,3890888772,60000.0,,40000.0,YEARLY,USD,BASE_SALARY
7579,3894848532,,18.0,,HOURLY,USD,BASE_SALARY
7595,3894874816,80.0,,70.0,YEARLY,USD,BASE_SALARY
7601,3894847770,,45000.0,,YEARLY,USD,BASE_SALARY
7624,3894852373,,16.15,,HOURLY,USD,BASE_SALARY
7632,3894854037,,14.45,,HOURLY,USD,BASE_SALARY
7641,3894854085,18.5,,17.5,HOURLY,USD,BASE_SALARY
7662,3894874889,,20.0,,HOURLY,USD,BASE_SALARY
7673,3894873787,,25.81,,HOURLY,USD,BASE_SALARY
7687,3890891534,,54080.0,,YEARLY,USD,BASE_SALARY
7689,3894847835,16.0,,15.0,HOURLY,USD,BASE_SALARY
7696,3894849620,16.0,,14.0,HOURLY,USD,BASE_SALARY
7710,3894872672,204600.0,,136400.0,YEARLY,USD,BASE_SALARY
7719,3890895164,,66.0,,HOURLY,USD,BASE_SALARY
7724,3894846978,19.0,,17.5,HOURLY,USD,BASE_SALARY
7779,3894850384,,15.0,,HOURLY,USD,BASE_SALARY
7781,3890890585,160000.0,,140000.0,YEARLY,USD,BASE_SALARY
7823,3894849491,,15.5,,HOURLY,USD,BASE_SALARY
7827,3890893623,132000.0,,120000.0,YEARLY,USD,BASE_SALARY
7834,3890890730,130000.0,,115000.0,YEARLY,USD,BASE_SALARY
7846,3890893461,6000.0,,4500.0,YEARLY,USD,BASE_SALARY
7882,3890891699,51.54,,38.65,MONTHLY,USD,BASE_SALARY
7892,3894847877,,15.3,,HOURLY,USD,BASE_SALARY
7987,3894905073,143000.0,,106000.0,YEARLY,USD,BASE_SALARY
