,company_id,name,description,company_size,state,country,city,zip_code,address,url
230,2329,Schneider Electric,"In Schneider Electric everything we do promotes progress and sustainability for all — our colleagues, customers, partners, and the communities and societies where we live and work. From the products, software, and services driving the digital transformation of energy management and automation to corporate citizenship and volunteer activities, we make an impact by helping people and organizations become more resilient and efficient, more electric and digital.

Which is where you come in. Working at Schneider Electric means working toward a cleaner, better world. You're part of a global team built on inclusion, mastery, purpose, action, curiosity, and teamwork, turning sustainability ambitions into actions.

Follow us on:
https://www.facebook.com/SchneiderElectric
https://www.twitter.com/SchneiderElec
https://www.twitter.com/SE_Careers
https://www.instagram.com/schneiderelectric
https://www.youtube.com/schneiderelectric
https://www.tiktok.com/@lifeatschneiderelectric",7.0,Paris,FR,Rueil Malmaison,92506,35 Rue Joseph Monier,https://www.linkedin.com/company/schneider-electric
233,2380,United Airlines,"This is the story of airline that leads the industry from ground to clouds. Our global cast of over 90,000+ hero characters are each on a journey to be a force for good for our customers, the planet and each other.  Come be part of this story, we’re hiring 15,000 people in 2023.",7.0,IL,US,Chicago,60606,233 South Wacker Drive,https://www.linkedin.com/company/united-airlines
246,2465,Digitas North America,"Digitas is the Networked Experience Agency, built on the vision that we create magnetic experiences that earn the right for brands to exist in human networks. Today, and tomorrow. We deliver Networked Experiences by leveraging comprehensive data, technology, creative, media and strategy capabilities. Digitas delivers ambitious outcomes via unique solutions that include Creative Experiences, Integrated Media, Addressable Relationships, Social Marketing and Total Commerce. Celebrated by AdAge as Data and Insights Agency of the Year, U.S Campaign’s Brand Experience Agency of the Year, Media Network of the Year and celebrated by Forrester and Gartner, Digitas serves the world’s leading brands through a global network comprised of more than 5,500 employees across over 65 offices in 43 countries.",5.0,Massachusetts,US,Boston,02109,40 Water St,https://www.linkedin.com/company/digitas-north-america
257,2516,University of Michigan,"The mission of the University of Michigan is to serve the people of Michigan and the world through preeminence in creating, communicating, preserving, and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future.

Why Work at Michigan?

Being part of something greater, of serving a larger mission of discovery and care — that's the heart of what drives people to work at Michigan. In some way, great or small, every person here helps to advance this world-class institution. It's adding a purpose to your profession. Work at Michigan and become a victor for the greater good.",7.0,Michigan,US,Ann Arbor,48104,1109 Geddes Ave,https://www.linkedin.com/school/university-of-michigan/
266,2584,University of Washington,"Founded in 1861, the University of Washington is one of the oldest state-supported institutions of higher education on the West Coast and is one of the preeminent research universities in the world. Located minutes from downtown Seattle, the main UW campus provides gorgeous views of the Cascade and Olympic mountain ranges and, every spring, attracts visitors from all over to world who come to witness the blooming of its cherry blossom trees.

As the state’s flagship university, the UW serves more students than any other institution in the Northwest. In addition to its Seattle campus, the University has thriving campuses in Tacoma and Bothell and a robust professional and continuing education program. 

Anyone can enjoy and be enriched by all the UW has to offer, including world-class libraries, art, music, drama, sports and the highest quality medical care in Washington state.

Being public also means being engaged with our communities, and through knowledge and discovery we are elevating the quality of lives of others.",7.0,wa,US,Seattle,98195-4550,1400 NE Campus Parkway,https://www.linkedin.com/school/university-of-washington/
283,2652,County of San Diego,"We are committed to provide and retain a skilled, adaptable, and diverse workforce for County departments so they may deliver superior services to the residents and visitors of the County of San Diego.",7.0,California,US,San Diego,92123,5500 Overland Ave,https://www.linkedin.com/company/county-of-san-diego
286,2669,Valeo,"As a technology company and partner to all automakers and new mobility players, Valeo innovates to make mobility cleaner, safer and smarter. Valeo is a technological and industrial leader in electrification, driving assistance systems, reinvention of the interior experience and lighting everywhere. These four areas, vital to the transformation of mobility, are the Group's growth drivers. Valeo in figures: 20 billion euros in sales in 2022; 109,900 employees at December 31, 2022; 29 countries, 183 plants, 21 research centers, 44 development centers, 18 distribution platforms. Valeo is listed on the Paris Stock Exchange.
--
Valeo, entreprise technologique, partenaire de tous les constructeurs automobiles et des nouveaux acteurs de la mobilité, œuvre pour une mobilité plus propre, plus sûre et plus intelligente, grâce à ses innovations. Valeo dispose d’un leadership technologique et industriel dans l’électrification, les aides à la conduite, la réinvention de la vie à bord et l'éclairage à l’intérieur et à l’extérieur du véhicule. Ces quatre domaines, essentiels à la transformation de la mobilité, sont les vecteurs de croissance du Groupe. Valeo en chiffres : 20 milliards d’euros de CA en 2022 ; 109 900 collaborateurs au 31 décembre 2022 ; 29 pays, 183 sites de production, 21 centres de recherche, 44 centres de développement, 18 plateformes de distribution. Valeo est coté à la Bourse de Paris.",7.0,Île-de-France,FR,Paris,75017,"100, Rue de Courcelles",https://www.linkedin.com/company/valeo
308,2822,General Mills,"We exist to make food the world loves. But we do more than that. General Mills is a place that prioritizes being a force for good, a place to expand learning, explore new perspectives and reimagine new possibilities, every day. We look for people who want to bring their best—bold thinkers with big hearts who challenge one other and grow together. Because becoming the undisputed leader in food means surrounding ourselves with people who are hungry for what’s next.",7.0,Minnesota,US,Minneapolis,55426,One General Mills Boulevard,https://www.linkedin.com/company/general-mills
331,2941,Teacher Retirement System of Texas,"The Teacher Retirement System of Texas (TRS) is responsible for investing funds under its stewardship and for delivering benefits to members as authorized by the Texas Legislature. Our mission is to improve the retirement security of Texas educators by prudently investing and managing trust assets and delivering benefits that make a positive difference in members’ lives. TRS is a defined benefit plan, with retirement benefits determined by a pre-established formula. The trust fund is sustained principally by three sources-contributions by members during their working careers, contributions by the state, and investment revenues. TRS was founded 85 years ago and has $200 billion in assets, making it the largest public retirement system in Texas in both membership and assets. It is the sixth largest public pension plan in the U.S. and is among the 20th largest in the world. The agency serves nearly 1.9 million people, of which over 1 million are public and higher education members and over 400,000 are retirement recipients and beneficiaries.

The Teacher Retirement System of Texas is constantly growing and looking for bright and talented individuals to join several departments, including Benefit Services, Investment Management, Organizational Excellence, IT, Legal and Compliance, and many more. TRS employees work in a culture of trust and collaboration and pride themselves in making a profound impact in the lives of Texas public education teachers. Additionally, TRS has the received the Top Workplaces USA award nearly consistently from 2012-2023, which can be attributed to its great leaders and employees. TRS is truly a great place to work and grow. ",4.0,Texas,US,Austin,78701,1000 Red River Street,https://www.linkedin.com/company/trsoftexas
333,2958,Texas Workforce Commission,"Texas Workforce Commission (TWC) is the state agency charged with overseeing and providing workforce development services to employers and job seekers of Texas. TWC strengthens the Texas economy by providing the workforce development component of the Governor's economic development strategy. Texas boasts an incredibly skilled workforce ready to attract enterprise to the Lone Star State. By focusing on the needs of employers, TWC gives Texas the competitive edge necessary to draw business here.

Our mission is to promote and support a workforce system that creates value and offers employers, individuals, and communities the opportunity to achieve and sustain economic prosperity. Our TWC Mission, Vision and Philosophy give more information about our goals and core beliefs.

Disclaimer: http://www.twc.state.tx.us/twcinfo/social-media-disclaimer.html",5.0,Texas,US,Austin,0,101 E 15th St,https://www.linkedin.com/company/txworkforce
369,3128,FIS,"FIS is at the heart of the commerce and financial transactions that power the world’s economy. We are passionate about helping businesses and communities thrive by advancing the way the world pays, banks and invests, serving more than 20,000 clients and more than one million merchant locations in over 130 countries. For more information about FIS, visit http://www.fisglobal.com. ",7.0,FL,US,Jacksonville,32202,601 Riverside Ave,https://www.linkedin.com/company/fis
378,3162,The University of Texas at Austin,"The University of Texas at Austin is one of the largest public universities in the United States. Founded in 1883, the university has grown from a single building, eight teachers, two departments and 221 students to a 350-acre main campus with 21,000 faculty and staff, 16 colleges and schools and more than 50,000 students.",7.0,tx,US,Austin,78712,1 University Station,https://www.linkedin.com/school/theuniversityoftexasataustin-/
389,3196,Northwestern University,"Northwestern is one of the nation’s premier research universities, combining innovative teaching and pioneering research in a highly collaborative, multidisciplinary, and diverse environment. Northwestern provides both students and faculty exceptional opportunities for intellectual, personal, and professional growth in beautiful settings, with two campuses located on Lake Michigan: a 240-acre campus in Evanston, minutes north of Chicago, and a 25-acre campus in downtown Chicago. A third campus in Doha, Qatar was founded in 2008. For more information visit http://www.northwestern.edu",6.0,IL,US,Evanston,60208,633 Clark St,https://www.linkedin.com/school/northwestern-university/
400,3264,Progressive Insurance,"Reality check: Most people don’t grow up dreaming about a job in insurance. We certainly didn’t, but then we got here and realized Progressive is different—in a good way. We strive to create a fun and flexible work environment for everyone where employees are encouraged to risk, learn, and grow. With our progressive culture, work-life balance, and one of the largest contemporary art collections in the country, there’s a reason we’ve been named one of the best places to work. 

For more than 80 years, Progressive has offered a wide range of insurance choices to customers, including Auto, Home, Renters, Commercial Auto, Small Business, Motorcycle, Boat policies, and more. Progressive is the third largest auto insurer in the country—a combined effort of every single Progressive person. We’re a diverse group of more than 50,000 talented employees—from all walks of life, all fields of business, and all 50 states. With hundreds of career paths including Claims, Customer Care, Sales, Marketing, Legal, IT, Data Analysis and with Level20, our new business incubator, there may be an opportunity for you. Everyone here plays a role in our success as we continue to find new and better ways to move the insurance industry forward and be there for our customers during every stage of their lives.",7.0,OH,US,Mayfield Village,44143,6300 Wilson Mills Road,https://www.linkedin.com/company/progressive-insurance
443,3536,Edelman,"Edelman is a global communications firm that partners with businesses and organizations to evolve, promote and protect their brands and reputations. Our 6,000 people in more than 60 offices deliver communications strategies that give our clients the confidence to lead, act with certainty and earn the lasting trust of their stakeholders.

We develop powerful ideas and tell magnetic stories that move at the speed of news, make an immediate impact, transform culture and spark movements. 

Since our founding in 1952 by Dan Edelman, we have remained an independent, family-run company. We use our profits to strengthen our business, provide our employees with opportunities to grow, advance our industry, and serve as a responsible citizen of the world. Every day, we strive to live and work by a long-held set of core values: the pursuit of excellence, the freedom to be curious, the courage to do the right thing, and a commitment to improving society.

Edelman is an equal opportunity employer of all protected classes, including veterans and individuals with disabilities.",6.0,NY,US,New York,10013,250 Hudson St,https://www.linkedin.com/company/edelman
451,3570,Arrow Electronics,"Enabling technology solutions that help improve business and daily life, Arrow Electronics guides innovation forward for over 210,000 leading technology manufacturers and service providers.

With a global network of suppliers, engineers and manufacturers, Arrow is the shortest distance between what’s possible and what’s practical. Our broad portfolio that spans the entire technology landscape helps customers create, make and manage forward-thinking products that make the benefits of technology accessible to as many people as possible.

We are a Fortune 109 company with 2022 sales of $37 billion.  Our global team includes 22,000+ employees in over 220 sales locations and 43 distribution and value-added centers. We help the world’s best technology companies think “Five Years Out,” working together to innovate the next big thing after the next big thing. 

Are you thinking Five Years Out? Join us at careers.arrow.com.",7.0,Colorado,US,Centennial,80112,9201 East Dry Creek Road,https://www.linkedin.com/company/arrow-electronics
454,3587,The Princeton Group,"We pride ourselves on being a premier information technology recruiting firm that delivers strategic and tactical solutions for both direct hire and contingent staffing. We seek to build long term relationships with both clients and candidates with the understanding that these relationships form the foundation of a best in class search firm. Guided by this principle, we have developed a truly team-oriented approach to placement wherein the entire team is dedicated to providing the ideal match for clients and candidates alike.",1.0,New York,US,New York,10001,1261 Broadway,https://www.linkedin.com/company/princeton-consulting
463,3638,University of Maryland,"As the State's flagship, the University of Maryland (UMD) strives to bring students deeply into the process of discovery, innovation and entrepreneurship. Whenever possible, hands-on research complements classroom instruction. Interdisciplinary collaborations facilitate the understanding of complex problems like cybersecurity and climate change, and international study and diversity help our graduates become global citizens.

Its location inside Washington, D.C.'s Beltway, along with its own Metro stop, gives students numerous opportunities to work with neighboring federal agencies and labs, think tanks and foreign organizations.",7.0,MD,US,College Park,20742,University of Maryland,https://www.linkedin.com/school/university-of-maryland/
468,3672,CACI International Inc,"At CACI International Inc (NYSE: CACI), our 23,000 talented and dynamic employees are ever vigilant in delivering distinctive expertise and differentiated technology to meet our customers’ greatest challenges in national security and government modernization. We are a company of good character, relentless innovation, and long-standing excellence. Our culture drives our success and earns us recognition as a Fortune World's Most Admired Company. CACI is a member of the Fortune 1000 Largest Companies, the Russell 1000 Index, and the S&P MidCap 400 Index. For more information, visit us at www.caci.com. 

CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities",7.0,Virginia,US,Reston,20190,12021 Sunset Hills Rd,https://www.linkedin.com/company/caci-international-inc
486,3757,University of North Carolina at Chapel Hill,"Carolina’s vibrant people and programs attest to the University’s long-standing place among leaders in higher education since it was chartered in 1789 and opened its doors for students in 1795 as the nation’s first public university. Situated in the beautiful college town of Chapel Hill, N.C., UNC has earned a reputation as one of the best universities in the world. Carolina prides itself on a strong, diverse student body, academic opportunities not found anywhere else, and a value unmatched by any public university in the nation.

UNC-Chapel Hill's LinkedIn comments guidelines:

Thank you for liking the LinkedIn page of the University of North Carolina at Chapel Hill. This page highlights information about the people and programs at Carolina. Consistent with UNC-Chapel Hill’s Policy on Prohibited Discrimination, Harassment and Related Misconduct, and the North Carolina Campus Free Speech Act, we encourage your comments and opinions as they relate to our posts.

This page is actively monitored for relevance. Carolina reserves the right to remove any comments that are not related to the particular post, make unsupported accusations, contain ad-hominem attacks, use obscene language or images, are blatant spam, contain advertisements, or contain inappropriate personal information or sensitive information. Repeated violation of these guidelines or behavior that substantially disrupts the maintenance of this page could result in a user being blocked from the page. Thanks for keeping the page enjoyable for everyone. Go Tar Heels!",7.0,NC,US,Chapel Hill,27514,103 South Building,https://www.linkedin.com/school/university-of-north-carolina-at-chapel-hill/
502,3859,WebMD,"Our Company: 
WebMD is a leading provider of health information services to consumers, physicians, healthcare professionals, employers and health plans.

Our Business: 
WebMD is the leading provider of health information and services to consumers and healthcare professionals. The online healthcare information, decision-support applications and communications services that we provide: 

Help consumers take an active role in managing their health by providing objective healthcare information and lifestyle information. 

Make it easier for physicians and healthcare professionals to access clinical reference sources, stay abreast of the latest clinical information, learn about new treatment options, earn continuing medical education credits and communicate with peers. 

Enable employers and health plans to provide their employees and plan members with access to personalized heath and benefit information and decision support technology that helps them make informed benefit, provider and treatment choices.",5.0,0,US,0,0,0,https://www.linkedin.com/company/webmd
519,3961,Biogen,"Founded in 1978, Biogen is a leading biotechnology company that pioneers innovative science to deliver new medicines to transform patients’ lives and to create value for shareholders and our communities. 

We apply deep understanding of human biology and leverage different modalities, to advance first-in-class treatments or therapies that deliver superior outcomes. Our approach is to take bold risks, balanced with return on investment to deliver long-term growth.

With approximately 7,000 people worldwide, we are truly a global organization, headquartered in Cambridge, Massachusetts, which is also home to our research operations. Our international headquarters are based in Baar, Switzerland and we have world-class manufacturing facilities in North Carolina and Solothurn, Switzerland. We offer therapies globally through direct affiliate presence in 30 countries and a network of distribution partners in over 50 additional countries.

For more information, please visit www.biogen.com. Follow us on social media –  LinkedIn, Facebook, X, and YouTube.",6.0,MA,US,Cambridge,02142,225 Binney Street,https://www.linkedin.com/company/biogen-
539,4080,DreamWorks Animation,"Over the past 20 years, DreamWorks Animation has introduced the world to a lovable curmudgeonly ogre, a noodle-slurping martial arts obsessed panda, and a bashful yet charismatic Viking hero and his pet dragon. Thanks to movies like Shrek, Kung-Fu Panda, Madagascar, and How To Train Your Dragon to name a few, DreamWorks Animation is recognized as one of the most admired family entertainment brands in the world. Dedicated to helping families dream and laugh together, DreamWorks creates and innovates 3D animated feature films, original TV series, and shorts, interactive media, live entertainment, themed experiences, consumer products, publishing, and trailblazing technology. Put all this together with DreamWorks Animations’ award-winning cast of artists, storytellers, and innovators, and, SKADOOSH – the result is a daily dose of laughter that comes to life across platforms, continents, and generations.

Visit our Careers Page: dreamworksanimation.com/careers",5.0,CA,US,Glendale,91201,1000 Flower Street,https://www.linkedin.com/company/dreamworks-animation
541,4097,"American Honda Motor Company, Inc.","We are Honda. A company built on dreams and the determination to make them come true. Driven by our commitment to society and the planet, our work brings joy to our customers and enhances mobility, as we work to help people everywhere expand their life’s potential. Our products, from cars and trucks, to advanced light jets and other forms of mobility, reflect our belief that the purpose of technology is to help people. 

Together, we are building an inclusive culture where people feel seen and celebrated. Where associates from a variety of backgrounds can apply their unique ideas and experiences to help us create a cleaner, safer, more exciting mobile world.     

You’re invited to join Honda on this journey. Your individual skills, passion, persistence, innovative mindset and challenging spirit are needed to help Honda Bring the Future.

Bring the Future at honda.com/careers",7.0,CA,US,Torrance,90501,1919 Torrance Blvd.,https://www.linkedin.com/company/american-honda-motor-company-inc-
545,4114,Solvay,"Welcome to Solvay, where science and mastery come together, creating excellence that stands the test of time. 

With a 160-year legacy, we're not just innovators; we're on a constant journey of progress, mastering the essential elements of our world.

We're all about revealing potentials, just like you. Recognizing what's crucial for our world, our solutions aim for a sustainable future, making a positive impact on individuals and communities worldwide.

In the market, we're leading the way with best-in-class essential chemicals, making a difference in critical sectors like construction, healthcare, consumer goods, and automotive. Our products, often unseen but always vital, play a crucial role in everyday life.
But progress could not been reached without the contribution of the most essential elements, you. 

Join us in our relentless pursuit of excellence and be part of Solvay's everlasting legacy: where together, we shape a better future for generations to come.",7.0,0,BE,Brussels,1120,Rue de Ransbeek 310,https://www.linkedin.com/company/solvay
579,4335,Skanska,"

Skanska Group uses knowledge & foresight to shape the way people live, work, and connect. More than 135 years in the making, we’re one of the world’s largest development and construction companies, with 2020 revenue totaling SEK 159 billion. We operate in select markets throughout the Nordics, Europe and the United States. Together with our customers and the collective expertise of our 32,000+ teammates, we create innovative and sustainable solutions that support healthy living beyond our lifetime.  

 

Founded in Sweden in 1887 as a maker of concrete, we were driven by a dual purpose: to innovate and build what’s good for people and society. Today we develop, design and build everything from healthy and green office buildings to smart homes and infrastructure. We partner to innovate, and we continue to hold our founding values at the heart of everything we do. 

Skanska Linkedin Page House Rules

We welcome and encourage participation. However, there are some rules we ask everyone to follow in order to maintain a friendly and respectful community. We will remove any posted content that is not aligned with Skanska's values and Code of Conduct, including:

Text, images or video containing profanity, sexually graphic or offensive language, spam, illegal content – laws that govern the use of copyrights, trade secrets, etc. will be followed.",7.0,0,SE,Stockholm,SE-112 74,Warfvinges väg 25 (Group Headquarters),https://www.linkedin.com/company/skanska
603,4505,Scholastic,"Scholastic Corporation (NASDAQ: SCHL) is the world's largest publisher and distributor of children's books, a leading provider of core literacy curriculum and professional services, and a producer of educational and entertaining children's media. The Company creates quality books and ebooks, print and technology-based learning programs for pre-K to grade 12, classroom magazines and other products and services that support children's learning both in school and at home. With operations in 14 international offices and exports to 165 countries, Scholastic makes quality, affordable books available to all children around the world through school-based book clubs and book fairs, classroom collections, school and public libraries, retail and online. 

True to its mission of more than 100 years to encourage the personal and intellectual growth of all children beginning with literacy, the Company has earned a reputation as a trusted partner to educators and families. Learn more at www.scholastic.com.

You can also visit the Company blog at http://www.oomscholasticblog.com.",6.0,NY,US,New York,10012,557 Broadway,https://www.linkedin.com/company/scholastic
615,4556,Texas A&M University,"Texas A&M University has a proud history that stretches back to 1876 when The Agricultural and Mechanical College of Texas became the first public institution of higher learning in the state of Texas. Nestled in the heart of the Houston-Dallas-Austin triangle, Texas A&M University at College Station is the state's largest university, with nearly 65,000 students calling Aggieland home, and another 5,200 Aggies are studying at branch campuses in Galveston, Texas, and Doha, Qatar. Texas A&M's designation as a land-, sea-, and space-grant institution reflects the superior quality and diverse range of research and innovation occurring on campus daily.

Texas A&M boasts a strong military tradition, having contributed men and women in uniform to every armed conflict since the Spanish-American War. More Aggies commission as officers into the U.S. Armed Forces than any other school outside of the U.S. military academies every year. Student-athletes represent Texas A&M across 18 sports within the Southeastern Conference. Additionally, the George H.W. Bush Presidential Library and Museum is located on Texas A&M's campus, as is the President and First Lady’s final resting places.

Quick to offer a cheery ""Howdy!""​ to any visitor, Aggies pride themselves on their hospitality and strive to live out the University's core values of respect, excellence, leadership, loyalty, integrity, and selfless service.

To learn more about employment opportunities at Texas A&M, visit https://jobs.tamu.edu/.",7.0,TX,US,College Station,77843,805 Rudder Tower,https://www.linkedin.com/school/texas-a&m-university/
620,4590,Parker Aerospace,"Parker Aerospace is a global leader in the research, design, manufacture, and service of flight control, hydraulic, fuel and inerting, fluid conveyance, thermal management, and engine systems and components for aerospace and other high-technology markets. 

An operating segment of Parker Hannifin Corporation, it has seven divisions in 44 facilities in the Americas, Asia, Europe, and the Middle East. Parker Aerospace's products are used on aircraft manufactured around the world, including commercial transports, military transports and fixed-wing aircraft, regional and business aircraft, general aviation, helicopters, missiles, and UAVs.

With annual sales of $14 billion, Parker Hannifin is the world's leading diversified manufacturer of motion and control technologies and systems, providing precision-engineered solutions for a wide variety of mobile, industrial and aerospace markets.

Parker Aerospace specializes in these core system technologies: 
Flight control, hydraulic, fuel & inerting, fluid conveyance, thermal management, and engine",7.0,Ohio,US,Cleveland,44124,6035 Parkland Blvd,https://www.linkedin.com/company/parker-aerospace
